회사명,거래소코드,회계년도,자본(천원),유동자산(천원),재고자산(천원),부채(천원),유동부채(천원),자본금(천원),비유동자산(천원),매출액(영업수익)(천원),당기순이익(순손실)(천원),유형자산(천원),영업이익(손실)(천원),이자비용(천원)
(주)에스엠비나,299670,2021/12,14853772.0,9454625.0,0.0,1279032.0,317826.0,545000.0,6678179.0,3992441.0,119960.0,448915.0,119960.0,21154.0
(주)에스엠비나,299670,2022/12,11752078.0,6323804.0,0.0,1252540.0,186466.0,545000.0,6680814.0,0.0,-3095499.0,456320.0,-3095499.0,20801.0
(주)에스제이켐,217910,2015/12,3554368.0,1989684.0,566431.0,9586787.0,2198264.0,1175000.0,11151471.0,4400273.0,-947379.0,10927141.0,-545158.0,0.0
(주)에스제이켐,217910,2016/12,4089479.0,2895699.0,1246681.0,10645446.0,3542244.0,1265000.0,11839226.0,5769433.0,-364889.0,11765852.0,-16525.0,0.0
(주)에스제이켐,217910,2017/12,4590260.0,3871789.0,1923965.0,10834314.0,3396660.0,1299052.0,11552785.0,8605000.0,126207.0,10954352.0,693583.0,0.0
(주)에스제이켐,217910,2018/12,4836502.0,4323664.0,2362755.0,10629716.0,2177735.0,1299052.0,11142555.0,8917348.0,246242.0,10649131.0,657926.0,0.0
(주)에스제이켐,217910,2019/12,5024437.0,3900851.0,2159889.0,10071749.0,2353379.0,1299052.0,11195335.0,9214486.0,187934.0,10438673.0,613913.0,0.0
(주)에스제이켐,217910,2020/12,5219593.0,5362674.0,2481743.0,10965439.0,2636976.0,1299052.0,10822358.0,8824388.0,195157.0,10199925.0,585102.0,0.0
(주)에스제이켐,217910,2021/12,4492808.0,4391467.0,1616761.0,11481061.0,4601949.0,1299052.0,11582402.0,9752681.0,-1585559.0,10813192.0,-1251769.0,0.0
(주)에스제이켐,217910,2022/12,3802767.0,3728217.0,2145407.0,11857711.0,4491141.0,1299052.0,11932261.0,10692409.0,-701051.0,11119045.0,-281581.0,0.0
(주)에스케이씨에스,224020,2013/12,4158011.0,3413616.0,1474459.0,14936221.0,9855327.0,950000.0,15680616.0,10208878.0,110977.0,13144318.0,530253.0,0.0
(주)에스케이씨에스,224020,2014/12,4465125.0,4279202.0,1661196.0,16946571.0,7335316.0,950000.0,17132494.0,15629513.0,293736.0,13555369.0,820646.0,0.0
(주)에스케이씨에스,224020,2015/12,6888128.0,9476403.0,1898719.0,20110247.0,8615235.0,1217500.0,17521973.0,19045597.0,469106.0,13193326.0,907816.0,0.0
(주)에스케이씨에스,224020,2016/12,8700575.0,7177831.0,2049635.0,15926617.0,4463437.0,1537500.0,17449361.0,21245334.0,493426.0,12669873.0,531383.0,0.0
(주)에스케이씨에스,224020,2017/12,3467318.0,6826862.0,2054900.0,16391750.0,6356099.0,1537500.0,13032206.0,18525456.0,-5233257.0,12050846.0,-1014349.0,0.0
(주)에스케이씨에스,224020,2018/12,271323.0,5056938.0,2089277.0,18191119.0,13208482.0,1350000.0,13405503.0,20867917.0,-1045861.0,12384164.0,-1045861.0,583392.0
(주)에스케이씨에스,224020,2019/12,193860.0,4905440.0,2047944.0,17522379.0,16001784.0,1350000.0,12810800.0,18512085.0,-83081.0,11877228.0,-83081.0,652304.0
(주)에스케이씨에스,224020,2020/12,276433.0,3782504.0,1850857.0,14130573.0,11420095.0,1537500.0,10624503.0,15657440.0,-2320427.0,10530424.0,-2320427.0,644338.0
(주)에스케이씨에스,224020,2021/12,2390270.0,4217383.0,1784226.0,13812501.0,11971876.0,1724793.0,11985388.0,17068806.0,30193.0,11842259.0,30193.0,480739.0
(주)에스케이씨에스,224020,2022/12,-1541671.0,3072941.0,1375304.0,14064649.0,11473752.0,1724793.0,9450037.0,16064766.0,-4056183.0,9313966.0,-4056183.0,493094.0
(주)에이아이더뉴트리진,311960,2017/12,1984513.0,2827735.0,508299.0,2460866.0,1917038.0,1006357.0,1617643.0,1776140.0,-1118736.0,776402.0,155109.0,0.0
(주)에이아이더뉴트리진,311960,2018/12,7777298.0,6336494.0,437545.0,5414500.0,5216401.0,1049502.0,6855304.0,5108390.0,1743497.0,1631207.0,1788515.0,0.0
(주)에이아이더뉴트리진,311960,2019/12,8778254.0,5065484.0,922625.0,4330794.0,3075587.0,1056645.0,8043564.0,6160918.0,2504.0,1778726.0,270184.0,0.0
(주)에이아이더뉴트리진,311960,2021/12,17253549.0,0.0,0.0,9550119.0,7523172.0,1531332.0,13066610.0,8415718.0,887376.0,2547610.0,887376.0,141227.0
(주)에이아이더뉴트리진,311960,2022/12,16132470.0,0.0,0.0,10782958.0,7081142.0,1531332.0,17395617.0,7278033.0,-980187.0,2507409.0,-980187.0,361678.0
(주)에이원알폼,234070,2013/12,5163330.0,4959006.0,429653.0,14741281.0,12612995.0,1950000.0,14945605.0,15341920.0,996742.0,13820450.0,938706.0,0.0
(주)에이원알폼,234070,2014/12,7255285.0,5799711.0,377860.0,19659435.0,14613850.0,1950000.0,21115010.0,22346940.0,2701853.0,18749882.0,3321199.0,0.0
(주)에이원알폼,234070,2015/12,12798731.0,0.0,0.0,43597228.0,32763018.0,1683330.0,41531209.0,27938643.0,1680200.0,40108678.0,1680200.0,1601704.0
(주)에이원알폼,234070,2016/12,21641803.0,0.0,0.0,65782609.0,46888051.0,1766663.0,71255465.0,41671294.0,7372638.0,69727656.0,7372638.0,2224031.0
(주)에이원알폼,234070,2017/12,26446968.0,0.0,0.0,67319718.0,51146492.0,1766663.0,78434240.0,40570772.0,4650740.0,76963965.0,4650740.0,2857220.0
(주)에이원알폼,234070,2018/12,32917611.0,14188534.0,2223154.0,61455634.0,40585280.0,1766663.0,80184711.0,35000745.0,1348082.0,78600299.0,1348082.0,2017257.0
(주)에이원알폼,234070,2019/12,31895349.0,11709905.0,1640578.0,63041254.0,45732648.0,1766663.0,83226698.0,32906602.0,-1206965.0,81658734.0,-1206965.0,2457704.0
(주)에이원알폼,234070,2020/12,23097259.0,13670007.0,1197487.0,63607677.0,56878226.0,1785721.0,73034929.0,31500360.0,-9830659.0,72433408.0,-9830659.0,1961363.0
(주)에이원알폼,234070,2021/12,33714899.0,11935026.0,1794002.0,31082593.0,20952453.0,1716905.0,52862465.0,20057061.0,-12062938.0,51744001.0,-12062938.0,1162224.0
(주)에이원알폼,234070,2022/12,46135396.0,17179627.0,1745484.0,27454052.0,10154531.0,3469241.0,56409821.0,36089165.0,10531411.0,54965362.0,10531411.0,1233814.0
(주)에피바이오텍,446440,2021/12,9820306.0,8090086.0,615.0,3063904.0,2130624.0,1462340.0,4794123.0,387850.0,-3195347.0,4389776.0,-3241731.0,0.0
(주)에피바이오텍,446440,2022/12,6305040.0,3734822.0,24354.0,2991775.0,2731935.0,1506814.0,5561993.0,449621.0,-5057828.0,4984962.0,-5038425.0,0.0
